 Date ,Open ,High ,Low ,Close ,Change (Pips) ,Change (%)
"Sep 30, 2014 03:00 ",1216.49 ,1218.14 ,1215.99 ,1216.64 ,+1.5 ,+0.01%
"Sep 30, 2014 02:00 ",1215.34 ,1216.64 ,1215.09 ,1216.49 ,+11.5 ,+0.09%
"Sep 30, 2014 01:00 ",1214.72 ,1215.59 ,1214.59 ,1215.34 ,+6.2 ,+0.05%
"Sep 29, 2014 23:00 ",1216.49 ,1216.52 ,1214.89 ,1215.48 ,-10.1 ,-0.08%
"Sep 29, 2014 22:00 ",1217.33 ,1217.8 ,1215.59 ,1216.42 ,-9.1 ,-0.07%
"Sep 29, 2014 21:00 ",1216.78 ,1218.25 ,1216.66 ,1217.34 ,+5.6 ,+0.05%
"Sep 29, 2014 20:00 ",1217.4 ,1218.35 ,1216.75 ,1216.78 ,-6.2 ,-0.05%
"Sep 29, 2014 19:00 ",1216.6 ,1218.43 ,1216.31 ,1217.48 ,+8.8 ,+0.07%
"Sep 29, 2014 18:00 ",1218.18 ,1218.86 ,1216 ,1216.51 ,-16.7 ,-0.14%
"Sep 29, 2014 17:00 ",1219.25 ,1219.64 ,1216.54 ,1218.18 ,-10.7 ,-0.09%
"Sep 29, 2014 16:00 ",1220.64 ,1221.85 ,1218.34 ,1219.29 ,-13.5 ,-0.11%
"Sep 29, 2014 15:00 ",1223.06 ,1223.22 ,1218.1 ,1220.64 ,-24.2 ,-0.20%
"Sep 29, 2014 14:00 ",1220.46 ,1223.3 ,1219.56 ,1223.09 ,+26.3 ,+0.22%
"Sep 29, 2014 13:00 ",1218.96 ,1221.26 ,1218.86 ,1220.46 ,+15.0 ,+0.12%
"Sep 29, 2014 12:00 ",1219.54 ,1220.16 ,1217.86 ,1218.93 ,-6.1 ,-0.05%
"Sep 29, 2014 11:00 ",1220.39 ,1220.89 ,1218.6 ,1219.54 ,-8.5 ,-0.07%
"Sep 29, 2014 10:00 ",1218.77 ,1220.84 ,1218.1 ,1220.39 ,+16.2 ,+0.13%
"Sep 29, 2014 09:00 ",1216.49 ,1219.19 ,1215.92 ,1218.76 ,+22.7 ,+0.19%
"Sep 29, 2014 08:00 ",1216.94 ,1216.94 ,1215.2 ,1216.49 ,-4.5 ,-0.04%
"Sep 29, 2014 07:00 ",1218.3 ,1218.68 ,1216.75 ,1216.94 ,-13.6 ,-0.11%
"Sep 29, 2014 06:00 ",1218.41 ,1218.59 ,1217.29 ,1218.35 ,-0.6 ,+0.00%
"Sep 29, 2014 05:00 ",1218.94 ,1219.08 ,1218.32 ,1218.42 ,-5.2 ,-0.04%
"Sep 29, 2014 04:00 ",1218.03 ,1218.94 ,1216.56 ,1218.9 ,+8.7 ,+0.07%
"Sep 29, 2014 03:00 ",1216.45 ,1219.27 ,1216.33 ,1218.06 ,+16.1 ,+0.13%
"Sep 29, 2014 02:00 ",1216.85 ,1217.75 ,1216.12 ,1216.47 ,-3.8 ,-0.03%
"Sep 29, 2014 01:00 ",1218.37 ,1218.8 ,1215.7 ,1216.85 ,-15.2 ,-0.12%
"Sep 29, 2014 00:00 ",1218.47 ,1218.47 ,1218.3 ,1218.3 ,-1.7 ,-0.01%
"Sep 26, 2014 23:00 ",1217.38 ,1218.18 ,1217.19 ,1217.64 ,+2.6 ,+0.02%
"Sep 26, 2014 22:00 ",1214.91 ,1217.69 ,1214.69 ,1217.4 ,+24.9 ,+0.20%
"Sep 26, 2014 21:00 ",1214.89 ,1215.01 ,1214.1 ,1214.81 ,-0.8 ,-0.01%
"Sep 26, 2014 20:00 ",1214.76 ,1215.4 ,1214.03 ,1214.9 ,+1.4 ,+0.01%
"Sep 26, 2014 19:00 ",1214.63 ,1215.16 ,1213.48 ,1214.71 ,+0.8 ,+0.01%
"Sep 26, 2014 18:00 ",1215.37 ,1216.44 ,1214.45 ,1214.63 ,-7.4 ,-0.06%
"Sep 26, 2014 17:00 ",1214.92 ,1215.64 ,1212.31 ,1215.39 ,+4.7 ,+0.04%
"Sep 26, 2014 16:00 ",1215.54 ,1218.24 ,1213.94 ,1214.83 ,-7.1 ,-0.06%
"Sep 26, 2014 15:00 ",1219.26 ,1220.78 ,1214.54 ,1215.54 ,-37.2 ,-0.31%
"Sep 26, 2014 14:00 ",1221.74 ,1222.31 ,1217.9 ,1219.44 ,-23.0 ,-0.19%
"Sep 26, 2014 13:00 ",1222.78 ,1223.89 ,1221.69 ,1221.74 ,-10.4 ,-0.09%
"Sep 26, 2014 12:00 ",1223.78 ,1224.34 ,1222.19 ,1222.84 ,-9.4 ,-0.08%
"Sep 26, 2014 11:00 ",1224.92 ,1225.24 ,1222.77 ,1223.84 ,-10.8 ,-0.09%
"Sep 26, 2014 10:00 ",1226.94 ,1227.04 ,1224.82 ,1225.02 ,-19.2 ,-0.16%
"Sep 26, 2014 09:00 ",1223.18 ,1231.25 ,1222.99 ,1226.94 ,+37.6 ,+0.31%
"Sep 26, 2014 08:00 ",1222.64 ,1224.09 ,1221.74 ,1223.19 ,+5.5 ,+0.04%
"Sep 26, 2014 07:00 ",1223.64 ,1224.49 ,1222.59 ,1222.59 ,-10.5 ,-0.09%
"Sep 26, 2014 06:00 ",1223.78 ,1225.23 ,1223.67 ,1223.68 ,-1.0 ,-0.01%
